Region,Installation,RPUID,Asset_Name,build_dt,FCI,ICI,Visit Date,Net_Profit,Population,Profit_per_pop,ConditionCombo,ICI_Exist,Q-Rating
MCINCR,MCB Quantico,22782,FIRESTONE SERVICE STATION,1991,76,,30-Oct-20,1289316.46,6660,193.5910601,76,N,Q2
MCINCR,MCB Quantico,24730,MCCS BOAT STORAGE LOT-4,1944,80,,20-Aug-15,2730772.2,6660,410.0258559,80,N,Q2
MCINCR,MCB Quantico,25636,MCCS MAINTENANCE,1983,76,,15-Sep-20,-7544730.36,6660,-1132.842396,76,N,Q2
MCINCR,MCB Quantico,26184,UPSHUR MARINE MART,1991,78,,06-Oct-20,1967861.22,6660,295.4746577,78,N,Q2
MCINCR,MCB Quantico,26184,UPSHUR MARINE MART,1991,78,80,24-Feb-17,1967861.22,6660,295.4746577,80,Y,Q2
MCINCR,MCB Quantico,26314,MARSH CENTER,1996,87,,08-Oct-20,96783.66,6660,14.53208108,87,N,Q1
MCINCR,MCB Quantico,26326,CDC NORTH,1995,86,,06-Oct-20,12195515.36,6660,1831.158462,86,N,Q1
MCINCR,MCB Quantico,26327,YOUTH CENTER,1998,87,,06-Oct-20,3072914.18,6660,461.3985255,87,N,Q1
MCINCR,MCB Quantico,26328,MEDAL OF HONOR GOLF CLUBHOUSE,2005,90,,30-Oct-20,3995078.22,6660,599.8615946,90,N,Q1
MCINCR,MCB Quantico,26331,MAIN EXCHANGE,1977,73,,08-Oct-20,237573566.8,6660,35671.70672,73,N,Q2
MCINCR,MCB Quantico,26331,MAIN EXCHANGE,1977,73,79.66666667,24-Feb-17,237573566.8,6660,35671.70672,79.66666667,Y,Q2
MCINCR,MCB Quantico,26332,MCCS MINI MART,1987,87,,09-Oct-20,170946124.9,6660,25667.58632,87,N,Q1
MCINCR,MCB Quantico,26332,MCCS MINI MART,1987,87,90,24-Feb-17,170946124.9,6660,25667.58632,90,Y,Q1
MCINCR,MCB Quantico,986764,RELIGIOUS FAMILY SERVICE CEN,2008,84,,28-Oct-20,-1.99691E-10,6660,-2.99836E-14,84,N,Q1
MCINCR,MCB Quantico,1084000,RUSSELL-KNOX BUILDING,2010,87,,20-Oct-20,2448512.88,6660,367.6445766,87,N,Q1
MCINCR,MCB Quantico,1131835,HEYWOOD HALL,2011,95,,08-Oct-20,1160494.98,6660,174.2484955,95,N,Q1
MCINCR,MCB Quantico,1148335,OCS HQ WILSON HALL,2012,91,,07-Oct-20,4904140.31,6660,736.3574039,91,N,Q1
MCINCR,MCB Quantico,1148335,OCS HQ WILSON HALL,2012,91,90,23-Feb-17,4904140.31,6660,736.3574039,90,Y,Q1
MCINCR,MCB Quantico,1162784,CDC SOUTH,2013,87,,06-Oct-20,9448923.8,6660,1418.757327,87,N,Q1
MCINCR,MCB Quantico,1184402,LOPEZ HALL,2013,91,,08-Oct-20,1821212.09,6660,273.4552688,91,N,Q1
MCINCR,MCB Quantico,1407179,MARINE MART HOT PATCH,2019,100,,16-Dec-19,5122488.86,6660,769.1424715,100,N,Q1
MCINCR,MCB Quantico,1447710,LUNGA RECREATION AREA,2021,100,,19-Jun-21,-44670.74,6660,-6.707318318,100,N,Q1
MCIPAC,Camp Mujuk,141792,ROK HARD CAFE (CURFEWS),2004,93,,06-Dec-17,-1170113.58,4000,-292.528395,93,N,Q1
MCIPAC,Camp Mujuk,1173428,,,,,,598004.26,4000,149.501065,,N,Q4
MCIPAC,MCAS Iwakuni,27562,RECREATION PAVILION-SETO DISTRICT,1995,82,,31-Oct-17,-130743.22,2662,-49.11465815,82,N,Q1
MCIPAC,MCAS Iwakuni,27570,IRONWORKS GYM-MISUMI DISTRICT,1994,84,,31-Oct-17,1062585.84,2662,399.1682344,84,N,Q1
MCIPAC,MCAS Iwakuni,27572,MCCS COLD STORAGE WAREHOUSE-SETO DISTRICT,1995,87,,02-Nov-17,-1417020.05,2662,-532.3140684,87,N,Q1
MCIPAC,MCAS Iwakuni,27606,CLUB COMPLEX-TORII DISTRICT,2000,88,83,15-May-17,36352584.62,2662,13656.11744,83,Y,Q1
MCIPAC,MCAS Iwakuni,27613,CHILD CARE CENTER-TORII DISTRICT,1992,89,,01-Nov-17,-291068.5,2662,-109.3420361,89,N,Q1
MCIPAC,MCAS Iwakuni,33114,SWIMMING POOL-MISUMI DISTRICT,1940,80,,20-Aug-15,4530.92,2662,1.702073629,80,N,Q2
MCIPAC,MCAS Iwakuni,34160,MCCS PROPERTY WAREHOUSE-TORII DISTRICT,1983,84,,20-Aug-15,-621748.56,2662,-233.5644478,84,N,Q1
MCIPAC,MCAS Iwakuni,34161,MCX SUPPORT WAREHOUSE-TORII DISTRICT,1990,88,,30-Oct-17,-621748.56,2662,-233.5644478,88,N,Q1
MCIPAC,MCAS Iwakuni,35257,MCX WAREHOUSE-MISUMI DISTRICT,1952,81,,31-Oct-17,-621748.56,2662,-233.5644478,81,N,Q1
MCIPAC,MCAS Iwakuni,35266,FOOD AND SERVICE MALL-MISUMI DISTRICT,1997,77,,07-Nov-17,43606565.86,2662,16381.12917,77,N,Q2
MCIPAC,MCAS Iwakuni,35266,FOOD AND SERVICE MALL-MISUMI DISTRICT,1997,77,86,01-May-17,43606565.86,2662,16381.12917,86,Y,Q1
MCIPAC,MCAS Iwakuni,35267,HSD/ED BLDG-MISUMI DISTRICT,2000,91,,09-Nov-17,-162725.42,2662,-61.12900826,91,N,Q1
MCIPAC,MCAS Iwakuni,35325,EXCHANGE RETAIL STORE-IMAZU DISTRICT,2000,89,,08-Nov-17,-26656.93,2662,-10.01387303,89,N,Q1
MCIPAC,MCAS Iwakuni,35326,HORNETS NEST-IMAZU DISTRICT,1987,90,,07-Nov-17,382121.89,2662,143.5469159,90,N,Q1
MCIPAC,MCAS Iwakuni,35328,MARINE MART-IMAZU DISTRICT,1996,82,,08-Nov-17,36198626.78,2662,13598.28204,82,N,Q1
MCIPAC,MCAS Iwakuni,35328,MARINE MART-IMAZU DISTRICT,1996,82,74,16-May-17,36198626.78,2662,13598.28204,74,Y,Q2
MCIPAC,MCAS Iwakuni,35329,MCCS GAS STATION-IMAZU DISTRICT,1997,89,,09-Nov-17,6294279.92,2662,2364.492832,89,N,Q1
MCIPAC,MCAS Iwakuni,35331,AUTO HOBBY SHOP-IMAZU DISTRICT,1997,87,,08-Nov-17,2445948.01,2662,918.8384711,87,N,Q1
MCIPAC,MCAS Iwakuni,35331,AUTO HOBBY SHOP-IMAZU DISTRICT,1997,87,75,16-May-17,2445948.01,2662,918.8384711,75,Y,Q2
MCIPAC,MCAS Iwakuni,550658,MCCS RENTAL SELF-STORAGE-IMAZU DISTRICT,2007,99,,20-Aug-15,1936269.6,2662,727.3740045,99,N,Q1
MCIPAC,MCAS Iwakuni,945416,BOWLING CENTER-IMAZU DISTRICT,2008,91,85,01-May-17,11744638.44,2662,4411.960346,85,Y,Q1
MCIPAC,MCAS Iwakuni,1102862,,,,,,1936269.6,2662,727.3740045,,N,Q4
MCIPAC,MCAS Iwakuni,1102865,TYPHOON MOTORS SELF-STORAGE-IMAZU DISTRICT,2007,93,,02-Nov-17,1936269.6,2662,727.3740045,93,N,Q1
MCIPAC,MCAS Iwakuni,1276151,IRON WORKS GYM-TORII DISTRICT,2016,97,,03-Nov-17,203902.52,2662,76.59749061,97,N,Q1
MCIPAC,MCAS Iwakuni,1276181,DEP SCHOOL-CONSOLIDATED-TORII DISTRICT,2016,100,,16-Aug-18,-331558.74,2662,-124.5524944,100,N,Q1
MCIPAC,MCAS Iwakuni,1276281,TEMPORARY LODGING FACILITY-TORII DISTRICT,2016,95,,07-Dec-17,45907837.23,2662,17245.61879,95,N,Q1
MCIPAC,MCAS Iwakuni,1276281,TEMPORARY LODGING FACILITY-TORII DISTRICT,2016,95,98,15-May-17,45907837.23,2662,17245.61879,98,Y,Q1
